WEEK,New Programs
2021-01-18 00:00:00.000,6
2021-04-12 00:00:00.000,4
2021-08-16 00:00:00.000,16
2022-10-17 00:00:00.000,92
2021-03-22 00:00:00.000,2
2021-11-08 00:00:00.000,57
2022-08-29 00:00:00.000,64
2021-08-23 00:00:00.000,15
2021-01-11 00:00:00.000,5
2022-09-12 00:00:00.000,70
2022-01-31 00:00:00.000,77
2020-11-02 00:00:00.000,10
2022-02-07 00:00:00.000,102
2021-04-05 00:00:00.000,2
2021-10-25 00:00:00.000,38
2021-03-29 00:00:00.000,5
2021-05-03 00:00:00.000,16
2022-06-20 00:00:00.000,76
2022-01-10 00:00:00.000,60
2022-07-11 00:00:00.000,62
2021-06-07 00:00:00.000,13
2021-05-24 00:00:00.000,14
2021-04-26 00:00:00.000,8
2021-03-15 00:00:00.000,13
2022-03-21 00:00:00.000,85
2021-12-20 00:00:00.000,55
2020-12-07 00:00:00.000,7
2020-11-09 00:00:00.000,4
2020-12-21 00:00:00.000,14
2022-04-18 00:00:00.000,92
2022-10-24 00:00:00.000,31
2021-11-29 00:00:00.000,53
2022-10-10 00:00:00.000,97
2021-02-15 00:00:00.000,17
2021-08-09 00:00:00.000,17
2022-05-02 00:00:00.000,94
2021-02-22 00:00:00.000,6
2021-08-02 00:00:00.000,18
2020-10-12 00:00:00.000,2
2020-10-19 00:00:00.000,6
2021-06-28 00:00:00.000,12
2021-11-15 00:00:00.000,57
2022-09-19 00:00:00.000,91
2022-07-25 00:00:00.000,80
2022-08-01 00:00:00.000,96
2021-09-27 00:00:00.000,27
2022-08-22 00:00:00.000,66
2020-10-05 00:00:00.000,11
2022-05-23 00:00:00.000,78
2021-10-11 00:00:00.000,38
2021-03-01 00:00:00.000,5
2021-07-26 00:00:00.000,14
2022-03-28 00:00:00.000,102
2021-10-18 00:00:00.000,55
2022-07-04 00:00:00.000,59
2022-06-06 00:00:00.000,94
2022-02-28 00:00:00.000,112
2021-05-10 00:00:00.000,6
2022-05-09 00:00:00.000,78
2022-02-14 00:00:00.000,94
2020-11-23 00:00:00.000,9
2022-08-08 00:00:00.000,76
2021-02-01 00:00:00.000,18
2021-09-06 00:00:00.000,18
2021-08-30 00:00:00.000,17
2022-07-18 00:00:00.000,64
2021-06-21 00:00:00.000,15
2022-10-03 00:00:00.000,72
2021-09-13 00:00:00.000,35
2021-04-19 00:00:00.000,5
2022-04-11 00:00:00.000,94
2021-10-04 00:00:00.000,38
2022-03-14 00:00:00.000,90
2021-12-06 00:00:00.000,70
2022-09-26 00:00:00.000,85
2021-03-08 00:00:00.000,12
2022-08-15 00:00:00.000,61
2021-12-27 00:00:00.000,61
2020-12-14 00:00:00.000,4
2020-12-28 00:00:00.000,4
2020-11-16 00:00:00.000,7
2021-12-13 00:00:00.000,59
2021-07-12 00:00:00.000,12
2022-05-16 00:00:00.000,90
2022-02-21 00:00:00.000,115
2021-05-17 00:00:00.000,10
2022-06-13 00:00:00.000,81
2021-01-04 00:00:00.000,1
2022-04-25 00:00:00.000,89
2022-09-05 00:00:00.000,56
2022-06-27 00:00:00.000,89
2021-11-22 00:00:00.000,67
2022-05-30 00:00:00.000,99
2021-09-20 00:00:00.000,25
2022-01-03 00:00:00.000,55
2021-07-19 00:00:00.000,25
2022-03-07 00:00:00.000,97
2022-04-04 00:00:00.000,81
2020-10-26 00:00:00.000,4
2022-01-17 00:00:00.000,50
2022-01-24 00:00:00.000,105
2021-01-25 00:00:00.000,3
2021-05-31 00:00:00.000,22
2020-11-30 00:00:00.000,16
2021-07-05 00:00:00.000,11
2021-06-14 00:00:00.000,15
2021-11-01 00:00:00.000,44
2021-02-08 00:00:00.000,9
