Date,Fees,Burn
2023-01-13,2126.136973342,1063.068486671
2023-01-14,2095.039757984,1047.519878992
2023-01-15,2051.288564502,1025.644282251
2023-01-16,1949.558074947,974.7790374735
2023-01-17,1910.276877326,955.138438663
2023-01-18,1917.175069035,958.5875345175
2023-01-19,1927.810630485,963.9053152425
2023-01-20,1831.771637465,915.8858187325
2023-01-21,1909.715474864,954.857737432
2023-01-22,1945.872762016,972.936381008
2023-01-23,2090.599245696,1045.299622848
2023-01-24,2060.549589878,1030.274794939
2023-01-25,1905.138625459,952.5693127295
2023-01-26,1827.753459474,913.876729737
2023-01-27,1793.359585198,896.679792599
2023-01-28,1807.773536656,903.886768328
2023-01-29,1819.383978035,909.6919890175
2023-01-30,1817.499816953,908.7499084765
2023-01-31,1749.897488682,874.948744341
2023-02-01,1802.076353692,901.038176846
2023-02-02,1870.382290419,935.1911452095
2023-02-03,1858.274606318,929.137303159
2023-02-04,1998.828376473,999.4141882365
2023-02-05,1968.220372713,984.1101863565
2023-02-06,2027.314986105,1013.6574930525
2023-02-07,2144.602453392,1072.301226696
2023-02-08,2047.912436876,1023.956218438
2023-02-09,1973.611466771,986.8057333855
2023-02-10,2689.073236694,1344.536618347
2023-02-11,2076.425444325,1038.2127221625
2023-02-12,1964.078347951,982.0391739755
2023-02-13,2009.458883854,1004.729441927
2023-02-14,1970.713380547,985.3566902735
2023-02-15,1919.627712773,959.8138563865
2023-02-16,1893.484929229,946.7424646145
2023-02-17,1896.843266024,948.421633012
2023-02-18,1966.089783272,983.044891636
2023-02-19,1975.679714874,987.839857437
2023-02-20,1978.534699642,989.267349821
2023-02-21,1998.860536679,999.4302683395
2023-02-22,1926.668831441,963.3344157205
2023-02-23,1946.802768119,973.4013840595
2023-02-24,2145.404522208,1072.702261104
2023-02-25,469.803054569,234.9015272845
2023-02-26,1867.875197022,933.937598511
2023-02-27,2211.676349825,1105.8381749125
2023-02-28,2273.285432206,1136.642716103
2023-03-01,2252.704451768,1126.352225884
2023-03-02,2328.397063708,1164.198531854
2023-03-03,2324.357696905,1162.1788484525
2023-03-04,2350.088557476,1175.044278738
2023-03-05,2327.038586079,1163.5192930395
2023-03-06,2302.165671466,1151.082835733
2023-03-07,2290.58078755,1145.290393775
2023-03-08,2253.066189044,1126.533094522
2023-03-09,2330.629551924,1165.314775962
2023-03-10,2307.066134167,1153.5330670835
2023-03-11,3446.693180281,1723.3465901405
2023-03-12,2284.366190697,1142.1830953485
2023-03-13,2205.923006782,1102.961503391
